"SPI","Mean_Accuracy","p_value_bonferroni","significant","Directionality","Literature_category","Module"
"si_kozachenko_k-1",45,0,TRUE,"Undirected","infotheory","M14"
"softdtw",77,0,TRUE,"Undirected","distance","M10"
"softdtw_constraint-itakura",77.1666666666667,0,TRUE,"Undirected","distance","M10"
"softdtw_constraint-sakoe-chiba",77.25,0,TRUE,"Undirected","distance","M10"
"spearmanr",90.1666666666667,0,TRUE,"Undirected","basic","M14"
"te_kernel_W-0.25_k-1",78.8333333333333,0,TRUE,"Directed","infotheory","M14"
"te_kraskov_NN-4_DCE_k-1_kt-1_l-1_lt-1",86,0,TRUE,"Directed","infotheory","M04"
"te_kraskov_NN-4_DCE_k-2_kt-1_l-1_lt-1",85.8333333333333,0,TRUE,"Directed","infotheory","M04"
"te_kraskov_NN-4_DCE_k-max-10_tau-max-4",86.0833333333333,0,TRUE,"Directed","infotheory","M04"
"te_kraskov_NN-4_k-1_kt-1_l-1_lt-1",87.75,0,TRUE,"Directed","infotheory","M04"
"te_kraskov_NN-4_k-max-10_tau-max-4",87.9166666666667,0,TRUE,"Directed","infotheory","M04"
"te_symbolic_k-10_kt-1_l-1_lt-1",85.3333333333333,0,TRUE,"Directed","infotheory","M05"
"te_symbolic_k-1_kt-1_l-1_lt-1",84.75,0,TRUE,"Directed","infotheory","M05"
"tlmi_gaussian",76.25,0,TRUE,"Undirected","infotheory","M14"
"tlmi_kernel_W-0.25",66.3333333333333,0,TRUE,"Undirected","infotheory","M14"
"tlmi_kraskov_NN-4",59.5833333333333,0,TRUE,"Undirected","infotheory","M14"
"tlmi_kraskov_NN-4_DCE",74.5,0,TRUE,"Undirected","infotheory","M14"
"wpli_multitaper_max_fs-1_fmin-0-25_fmax-0-5",49.3333333333333,0,TRUE,"Undirected","spectral","M07"
"wpli_multitaper_max_fs-1_fmin-0_fmax-0-25",51.5833333333333,0,TRUE,"Undirected","spectral","M07"
"wpli_multitaper_max_fs-1_fmin-0_fmax-0-5",44.1666666666667,0,TRUE,"Undirected","spectral","M07"
"wpli_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",58.0833333333333,0,TRUE,"Undirected","spectral","M01"
"wpli_multitaper_mean_fs-1_fmin-0_fmax-0-25",71,0,TRUE,"Undirected","spectral","M01"
"wpli_multitaper_mean_fs-1_fmin-0_fmax-0-5",76.5,0,TRUE,"Undirected","spectral","M14"
"xcorr_max_sig-True",82,0,TRUE,"Undirected","basic","M10"
"xcorr_mean_sig-False",54.8333333333333,0,TRUE,"Undirected","basic","M14"
"xcorr_mean_sig-True",76,0,TRUE,"Undirected","basic","M14"
"anm",49.5904436860068,1,FALSE,"Directed","causal","M02"
"bary_dtw_max",57.5312855517634,0,TRUE,"Undirected","distance","M14"
"bary_dtw_mean",50.5005688282139,1,FALSE,"Undirected","distance","M09"
"bary_euclidean_max",64.1751990898749,0,TRUE,"Undirected","distance","M14"
"bary_sgddtw_max",59.1353811149033,0,TRUE,"Undirected","distance","M14"
"bary_sgddtw_mean",50.4778156996587,1,FALSE,"Undirected","distance","M09"
"bary_softdtw_max",58.3276450511945,0,TRUE,"Undirected","distance","M14"
"bary_softdtw_mean",50.967007963595,1,FALSE,"Undirected","distance","M09"
"cce_gaussian",69.3856655290102,0,TRUE,"Directed","infotheory","M03"
"cce_kernel_W-0.5",60.2502844141069,0,TRUE,"Directed","infotheory","M03"
"cce_kozachenko",62.8555176336746,0,TRUE,"Directed","infotheory","M03"
"ccm_E-10_max",62.6052332195677,0,TRUE,"Directed","causal","M14"
"ccm_E-10_mean",61.8657565415245,0,TRUE,"Directed","causal","M14"
"ccm_E-1_max",60.2957906712173,0,TRUE,"Directed","causal","M14"
"ccm_E-1_mean",61.7747440273038,0,TRUE,"Directed","causal","M14"
"ccm_E-None_max",62.127417519909,0,TRUE,"Directed","causal","M14"
"ccm_E-None_mean",62.8668941979522,0,TRUE,"Directed","causal","M14"
"cds",54.9488054607508,0.729999999999993,FALSE,"Directed","causal","M02"
"ce_gaussian",62.6166097838453,0,TRUE,"Undirected","infotheory","M14"
"ce_kernel_W-0.5",62.1729237770193,0,TRUE,"Undirected","infotheory","M14"
"ce_kozachenko",56.382252559727,0.0100000000000052,TRUE,"Undirected","infotheory","M14"
"cohmag_multitaper_max_fs-1_fmin-0-25_fmax-0-5",57.1786120591581,0.0100000000000052,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_max_fs-1_fmin-0_fmax-0-25",53.5722411831627,1,FALSE,"Undirected","spectral","M12"
"cohmag_multitaper_max_fs-1_fmin-0_fmax-0-5",50.7281001137656,1,FALSE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0-25_fmax-0-5",59.9544937428896,0,TRUE,"Undirected","spectral","M12"
"cohmag_multitaper_mean_fs-1_fmin-0_fmax-0-25",56.4391353811149,0.0100000000000052,TRUE,"Undirected","spectral","M12"
